    1. Hafta             Sıralama  |              Fixture ||  Sonuç
0   1. Hafta    Borussia Dortmund  |       Bayern München  |  2 - 2
1   1. Hafta           RB Leipzig  |     Bayer Leverkusen  |  3 - 2
2   1. Hafta             Freiburg  |             Freiburg  |  3 - 0
3   1. Hafta   Fortuna Düsseldorf  |        Werder Bremen  |  1 - 3
4   1. Hafta     Bayer Leverkusen  |            Wolfsburg  |  2 - 1
5   1. Hafta            Wolfsburg  |    Borussia Dortmund  |  5 - 1
6   1. Hafta  Eintracht Frankfurt  |      Mönchengladbach  |  0 - 0
7   1. Hafta        Hertha Berlin  |  Eintracht Frankfurt  |  1 - 0
8   1. Hafta       Bayern München  |         Union Berlin  |  0 - 4
9   1. Hafta              Schalke  |        Hertha Berlin  |  2 - 2
10  1. Hafta      Mönchengladbach  |            Paderborn  |  3 - 2
11  1. Hafta            Paderborn  |             Mainz 05  |  3 - 0
12  1. Hafta                 Köln  |   Fortuna Düsseldorf  |  1 - 3
13  1. Hafta           Hoffenheim  |                 Köln  |  2 - 1
14  1. Hafta        Werder Bremen  |             Augsburg  |  5 - 1
15  1. Hafta                Mainz  |           Schalke 04  |  0 - 0
16  1. Hafta             Augsburg  |           Hoffenheim  |  1 - 0
17  1. Hafta         Union Berlin  |           RB Leipzig  |  0 - 4


    2. Hafta             Sıralama  |              Fixture ||  Sonuç
0   2. Hafta    Borussia Dortmund  |                 Köln  |  1 - 3
1   2. Hafta             Freiburg  |   Fortuna Düsseldorf  |  1 - 3
2   2. Hafta           RB Leipzig  |           Hoffenheim  |  3 - 2
3   2. Hafta            Wolfsburg  |             Augsburg  |  1 - 1
4   2. Hafta     Bayer Leverkusen  |             Mainz 05  |  1 - 3
5   2. Hafta       Bayern München  |            Paderborn  |  1 - 3
6   2. Hafta      Mönchengladbach  |           Schalke 04  |  0 - 3
7   2. Hafta   Fortuna Düsseldorf  |           RB Leipzig  |  2 - 1
8   2. Hafta           Hoffenheim  |        Hertha Berlin  |  0 - 3
9   2. Hafta  Eintracht Frankfurt  |    Borussia Dortmund  |  1 - 3
10  2. Hafta        Hertha Berlin  |     Bayer Leverkusen  |  1 - 3
11  2. Hafta              Schalke  |        Werder Bremen  |  3 - 2
12  2. Hafta             Augsburg  |         Union Berlin  |  1 - 1
13  2. Hafta         Union Berlin  |      Mönchengladbach  |  1 - 3
14  2. Hafta            Paderborn  |             Freiburg  |  1 - 3
15  2. Hafta        Werder Bremen  |       Bayern München  |  0 - 3
16  2. Hafta                 Köln  |  Eintracht Frankfurt  |  2 - 1
17  2. Hafta                Mainz  |            Wolfsburg  |  0 - 3


    3. Hafta             Sıralama  |              Fixture ||  Sonuç
0   3. Hafta           RB Leipzig  |      Mönchengladbach  |  1 - 3
1   3. Hafta       Bayern München  |             Freiburg  |  1 - 2
2   3. Hafta            Wolfsburg  |       Bayern München  |  6 - 1
3   3. Hafta     Bayer Leverkusen  |     Bayer Leverkusen  |  0 - 0
4   3. Hafta    Borussia Dortmund  |           Schalke 04  |  3 - 0
5   3. Hafta             Freiburg  |            Wolfsburg  |  1 - 1
6   3. Hafta  Eintracht Frankfurt  |         Union Berlin  |  3 - 1
